userId,movieId,tag,timestamp
1,1,Adfero aedificium voluptatum amiculum solum aggero.,1779150939
1,2,Utique cunabula totidem vito crepusculum charisma studio delectatio.,1779150939
1,3,Vinculum eum patria tot ascit.,1779150939
1,4,Conturbo valens voco cubitum arcesso clementia.,1779150939
1,5,Video amissio convoco civitas confugo dolorem taedium.,1779150939
1,6,Ratione sonitus advoco aperiam urbanus caelestis comburo iure tot.,1779150939
1,7,Nulla verbera adfectus arca corrigo.,1779150939
1,8,Ducimus crur texo autus adstringo ulterius antiquus ea.,1779150939
1,19,Canis adstringo ago uterque velit spoliatio.,1779150939
1,18,Vicissitudo statua abundans confugo theca valde stipes.,1779150939
1,17,Tracto supellex coadunatio volup.,1779150939
1,16,Desidero absens theatrum acsi bellum acquiro dedecor ars.,1779150939
